questionFrontendId,title,isPaidOnly,difficulty,likeDislike_ratio,likes,dislikes
1151,"Minimum Swaps to Group All 1 s Together",1,Medium,146,292,2
1716,"Calculate Money in Leetcode Bank",0,Easy,136,136,1
990,"Satisfiability of Equality Equations",0,Medium,121,726,6
1522,"Diameter of N-Ary Tree",1,Medium,103,103,1
1579,"Remove Max Number of Edges to Keep Graph Fully Traversable",0,Hard,95,287,3
1368,"Minimum Cost to Make at Least One Valid Path in a Grid",0,Hard,92,462,5
1434,"Number of Ways to Wear Different Hats to Each Other",0,Hard,91,364,4
1235,"Maximum Profit in Job Scheduling",0,Hard,90,995,11
1143,"Longest Common Subsequence",0,Medium,84,2523,30
1745,"Palindrome Partitioning IV",0,Hard,79,158,2
958,"Check Completeness of a Binary Tree",0,Medium,79,1115,14
72,"Edit Distance",0,Hard,77,5133,66
1463,"Cherry Pickup II",0,Hard,76,685,9
1439,"Find the Kth Smallest Sum of a Matrix With Sorted Rows",0,Hard,73,442,6
1676,"Lowest Common Ancestor of a Binary Tree IV",1,Medium,72,72,1
1671,"Minimum Number of Removals to Make Mountain Array",0,Hard,70,212,3
1602,"Find Nearest Right Node in Binary Tree",1,Medium,70,141,2
1312,"Minimum Insertion Steps to Make a String Palindrome",0,Hard,70,637,9
1567,"Maximum Length of Subarray With Positive Product",0,Medium,69,345,5
1264,"Page Recommendations",1,Medium,67,67,1
286,"Walls and Gates",1,Medium,67,1495,22
226,"Invert Binary Tree",0,Easy,66,4680,70
1713,"Minimum Operations to Make a Subsequence",0,Hard,65,195,3
366,"Find Leaves of Binary Tree",1,Medium,65,1248,19
42,"Trapping Rain Water",0,Hard,65,9809,149
1449,"Form Largest Integer With Digits That Add up to Target",0,Hard,64,321,5
1388,"Pizza With 3n Slices",0,Hard,64,320,5
208,"Implement Trie (Prefix Tree)",0,Medium,64,4166,65
1004,"Max Consecutive Ones III",0,Medium,63,1828,29
1580,"Put Boxes Into the Warehouse II",1,Medium,62,62,1
1478,"Allocate Mailboxes",0,Hard,62,373,6
253,"Meeting Rooms II",1,Medium,61,3392,55
1547,"Minimum Cost to Cut a Stick",0,Hard,60,360,6
1546,"Maximum Number of Non-Overlapping Subarrays With Sum Equals Target",0,Medium,60,424,7
1440,"Evaluate Boolean Expression",1,Medium,60,60,1
1554,"Strings Differ by One Character",1,Medium,59,59,1
968,"Binary Tree Cameras",0,Hard,59,1139,19
1530,"Number of Good Leaf Nodes Pairs",0,Medium,58,582,10
1406,"Stone Game III",0,Hard,58,467,8
1277,"Count Square Submatrices with All Ones",0,Medium,58,1626,28
992,"Subarrays with K Different Integers",0,Hard,58,1523,26
159,"Longest Substring with At Most Two Distinct Characters",1,Medium,58,1219,21
337,"House Robber III",0,Medium,57,3705,65
1585,"Check If String Is Transformable With Substring Sort Operations",0,Hard,56,224,4
1643,"Kth Smallest Instructions",0,Hard,56,168,3
1293,"Shortest Path in a Grid with Obstacles Elimination",0,Hard,55,661,12
1514,"Path with Maximum Probability",0,Medium,54,490,9
295,"Find Median from Data Stream",0,Hard,54,3693,68
106,"Construct Binary Tree from Inorder and Postorder Traversal",0,Medium,54,2415,44
64,"Minimum Path Sum",0,Medium,54,4213,78
1474,"Delete N Nodes After M Nodes of a Linked List",1,Easy,53,161,3
983,"Minimum Cost For Tickets",0,Medium,53,2495,47
1077,"Project Employees III",1,Medium,52,104,2
632,"Smallest Range Covering Elements from K Lists",0,Hard,52,1324,25
329,"Longest Increasing Path in a Matrix",0,Hard,52,2694,51
1664,"Ways to Make a Fair Array",0,Medium,51,309,6
1319,"Number of Operations to Make Network Connected",0,Medium,51,725,14
206,"Reverse Linked List",0,Easy,51,6276,121
487,"Max Consecutive Ones II",1,Medium,50,657,13
1532,"The Most Recent Three Orders",1,Medium,49,49,1
